customer_id,intent_score,churn_risk,fatigue_score,product_views,cart_count,abandonments,cart_value,journey_stage,preferred_channel,active_hour,days_since_last_purchase,conversion_probability,converted
CUST_STORY_RAHUL,100,82.0,10,3,3,3,0.0,High Intent,whatsapp,Evening,23.0,0.688,True
CUST_STORY_PRIYA,100,82.0,10,3,3,3,0.0,Loyal,email,Morning,35.0,0.688,True
CUST_STORY_ARJUN,40,52.0,10,6,0,0,0.0,Browsing,push,Night,,0.358,False
CUST_STORY_SNEHA,10,70.0,100,0,0,0,0.0,Dormant,email,Afternoon,,0.0,False
CUST_DBA58527,100,67.0,10,4,3,2,0.0,Loyal,sms,Night,15.0,0.703,True
CUST_574CC639,100,82.0,10,3,3,3,0.0,High Intent,email,Afternoon,70.0,0.688,True
CUST_5F74829A,60,62.0,10,1,1,1,0.0,High Intent,email,Evening,2.0,0.7105,True
CUST_312A6DB6,90,72.0,10,10,2,2,0.0,Browsing,whatsapp,Afternoon,,0.638,False
CUST_729BBAFC,50,52.0,10,8,0,0,0.0,Browsing,email,Morning,,0.418,False
CUST_9CB361E5,80,72.0,10,2,2,2,0.0,High Intent,sms,Night,23.0,0.578,True
CUST_F2095CB0,80,72.0,10,8,2,2,0.0,Browsing,email,Afternoon,,0.578,False
CUST_D0F1DC2C,65,47.0,10,2,1,0,0.0,High Intent,push,Afternoon,53.0,0.513,True
CUST_A3613257,20,52.0,10,2,0,0,0.0,Anonymous,email,Morning,,0.238,False
CUST_352FAB1D,50,52.0,10,8,0,0,0.0,Browsing,email,Afternoon,,0.418,False
CUST_E80496F2,40,52.0,10,6,0,0,0.0,Anonymous,whatsapp,Afternoon,,0.358,False
CUST_0389F244,80,70.0,0,2,2,2,0.0,Interested,push,Night,42.0,0.61,True
CUST_38477D29,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Night,,0.0,False
CUST_D9AB9B04,85,57.0,10,3,2,1,0.0,High Intent,email,Night,5.0,0.623,True
CUST_489B0639,90,42.0,10,4,2,0,0.0,Loyal,sms,Afternoon,94.0,0.668,True
CUST_B31F3060,40,52.0,10,6,0,0,0.0,Anonymous,sms,Night,,0.358,False
CUST_54458FD3,100,92.0,10,4,4,4,0.0,High Intent,email,Evening,4.0,0.678,True
CUST_9B05CEFB,85,57.0,10,3,2,1,0.0,High Intent,email,Morning,84.0,0.623,True
CUST_BE4A7697,60,62.0,10,1,1,1,0.0,High Intent,email,Morning,59.0,0.61,True
CUST_1336A50D,10,70.0,100,0,0,0,0.0,Dormant,email,Morning,,0.0,False
CUST_468EB40A,100,92.0,10,4,4,4,0.0,High Intent,whatsapp,Afternoon,98.0,0.678,True
CUST_F855D551,20,52.0,10,2,0,0,0.0,Anonymous,sms,Evening,,0.238,False
CUST_B892658B,100,62.0,10,6,4,2,0.0,Loyal,sms,Morning,95.0,0.708,True
CUST_C1F5099A,55,62.0,10,6,1,1,0.0,Anonymous,whatsapp,Night,,0.438,False
CUST_81A45894,20,52.0,10,2,0,0,0.0,Anonymous,sms,Evening,,0.238,False
CUST_4992E778,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_EDB28AF9,20,52.0,10,2,0,0,0.0,Anonymous,whatsapp,Morning,,0.238,False
CUST_FEED1B22,100,90.0,0,4,4,4,0.0,Interested,email,Afternoon,21.0,0.71,True
CUST_C11A6B23,10,61.0,55,0,0,0,0.0,Churn Risk,whatsapp,Evening,,0.034,False
CUST_CD4F31D7,100,100.0,0,5,5,5,0.0,Interested,push,Afternoon,61.0,0.7,True
CUST_3D9B9641,85,57.0,10,3,2,1,0.0,High Intent,email,Night,11.0,0.623,True
CUST_5DFFC4BE,50,72.0,10,2,2,2,0.0,Interested,push,Night,,0.398,False
CUST_E5EB6418,100,80.0,0,3,3,3,0.0,Interested,whatsapp,Night,94.0,0.72,True
CUST_CE38E4CB,80,70.0,0,2,2,2,0.0,Cart Active,sms,Evening,91.0,0.61,True
CUST_11074403,50,72.0,10,2,2,2,0.0,Cart Active,push,Morning,,0.398,False
