event_id,customer_id,timestamp,device_id,channel,event_type,product_category,product_id,price,session_duration,cart_value,journey_stage,converted
EVT_E667950F,CUST_960A76FC,2026-03-12T11:23:51.625111+00:00,DEV_9E52C51F,website,session_start,,,,233.0,,anonymous,False
EVT_2796E87A,CUST_93A9BF43,2026-03-12T11:23:51.625111+00:00,DEV_6800F3EB,website,session_start,,,,32.0,,anonymous,False
EVT_928424D6,CUST_449FC798,2026-03-12T11:23:51.625111+00:00,DEV_32509652,website,session_start,,,,113.0,,anonymous,False
EVT_DE001EBA,CUST_E4B13E8F,2026-03-12T11:23:51.625111+00:00,DEV_7073C134,website,session_start,,,,269.0,,anonymous,False
EVT_A6C43127,CUST_48D454C1,2026-03-12T11:23:51.625111+00:00,DEV_AFD31BAD,website,session_start,,,,280.0,,anonymous,False
EVT_0C55062D,CUST_538A7176,2026-03-12T11:23:51.625111+00:00,DEV_931B338C,website,session_start,,,,168.0,,anonymous,False
EVT_B3DCB4A8,CUST_B8B54386,2026-03-12T11:23:51.625111+00:00,DEV_84D79BD0,website,session_start,,,,95.0,,anonymous,False
EVT_EEFC6EB4,CUST_80D7E8E6,2026-03-12T11:23:51.625111+00:00,DEV_90D48AA9,website,session_start,,,,84.0,,anonymous,False
EVT_AAC1D612,CUST_64D813A5,2026-03-12T11:23:51.625111+00:00,DEV_4058835C,website,session_start,,,,108.0,,anonymous,False
EVT_9D5AE474,CUST_06B32EE5,2026-03-12T11:23:51.625111+00:00,DEV_E1A95D71,website,session_start,,,,260.0,,anonymous,False
EVT_5A48296D,CUST_B2B8F92B,2026-03-12T11:23:51.625111+00:00,DEV_CC2E346D,website,session_start,,,,263.0,,anonymous,False
EVT_9D79CF59,CUST_3B00B30E,2026-03-12T11:23:51.625111+00:00,DEV_2D7ED1C6,email,email_sent,,,,,,anonymous,False
EVT_3B752E94,CUST_F5917397,2026-03-12T11:23:51.625111+00:00,DEV_3E1D41E6,website,session_start,,,,96.0,,anonymous,False
EVT_5F7F17D1,CUST_6C0C3F65,2026-03-12T11:23:51.625111+00:00,DEV_B2B4A719,website,session_start,,,,54.0,,anonymous,False
EVT_8935856D,CUST_5E03E8A0,2026-03-12T11:23:51.625111+00:00,DEV_70567DDD,email,email_sent,,,,,,anonymous,False
EVT_8DF0E70F,CUST_ACCFCF3B,2026-03-12T11:23:51.625111+00:00,DEV_981F7453,website,session_start,,,,151.0,,anonymous,False
EVT_2399FE3D,CUST_8F84B196,2026-03-12T11:23:51.625111+00:00,DEV_A908ECCB,website,session_start,,,,180.0,,anonymous,False
EVT_254FDF7B,CUST_7B3DBE5B,2026-03-12T11:23:51.625111+00:00,DEV_6E552A9E,website,session_start,,,,275.0,,anonymous,False
