customer_id,intent_score,conversion_probability,churn_risk,fatigue_score,journey_stage,preferred_channel,recommended_action,channel_used,converted
CUST_STORY_RAHUL,100,0.688,82.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_STORY_PRIYA,100,0.688,82.0,10,Loyal,email,send_coupon,email,True
CUST_STORY_ARJUN,40,0.358,52.0,10,Browsing,push,recommend_products,none,False
CUST_STORY_SNEHA,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_DBA58527,100,0.703,67.0,10,Loyal,sms,send_coupon,sms,True
CUST_574CC639,100,0.688,82.0,10,High Intent,email,send_coupon,email,True
CUST_5F74829A,60,0.7105,62.0,10,High Intent,email,send_whatsapp,whatsapp,True
CUST_312A6DB6,90,0.638,72.0,10,Browsing,whatsapp,send_coupon,whatsapp,False
CUST_729BBAFC,50,0.418,52.0,10,Browsing,email,recommend_products,none,False
CUST_9CB361E5,80,0.578,72.0,10,High Intent,sms,send_coupon,sms,True
CUST_F2095CB0,80,0.578,72.0,10,Browsing,email,send_coupon,email,False
CUST_D0F1DC2C,65,0.513,47.0,10,High Intent,push,send_push,push,True
CUST_A3613257,20,0.238,52.0,10,Anonymous,email,wait,none,False
CUST_352FAB1D,50,0.418,52.0,10,Browsing,email,recommend_products,none,False
CUST_E80496F2,40,0.358,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_0389F244,80,0.61,70.0,0,Interested,push,loyalty_reward,none,True
CUST_38477D29,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_D9AB9B04,85,0.623,57.0,10,High Intent,email,send_coupon,email,True
CUST_489B0639,90,0.668,42.0,10,Loyal,sms,loyalty_reward,none,True
CUST_B31F3060,40,0.358,52.0,10,Anonymous,sms,wait,none,False
CUST_54458FD3,100,0.678,92.0,10,High Intent,email,send_coupon,email,True
CUST_9B05CEFB,85,0.623,57.0,10,High Intent,email,send_whatsapp,whatsapp,True
CUST_BE4A7697,60,0.61,62.0,10,High Intent,email,send_whatsapp,whatsapp,True
CUST_1336A50D,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_468EB40A,100,0.678,92.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_F855D551,20,0.238,52.0,10,Anonymous,sms,wait,none,False
CUST_B892658B,100,0.708,62.0,10,Loyal,sms,send_push,push,True
CUST_C1F5099A,55,0.438,62.0,10,Anonymous,whatsapp,loyalty_reward,none,False
CUST_81A45894,20,0.238,52.0,10,Anonymous,sms,wait,none,False
CUST_4992E778,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_EDB28AF9,20,0.238,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_FEED1B22,100,0.71,90.0,0,Interested,email,send_coupon,email,True
CUST_C11A6B23,10,0.034,61.0,55,Churn Risk,whatsapp,wait,none,False
CUST_CD4F31D7,100,0.7,100.0,0,Interested,push,send_coupon,push,True
CUST_3D9B9641,85,0.623,57.0,10,High Intent,email,send_coupon,email,True
CUST_5DFFC4BE,50,0.398,72.0,10,Interested,push,send_whatsapp,whatsapp,False
CUST_E5EB6418,100,0.72,80.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_CE38E4CB,80,0.61,70.0,0,Cart Active,sms,send_coupon,sms,True
CUST_11074403,50,0.398,72.0,10,Cart Active,push,send_whatsapp,whatsapp,False
CUST_57C4461D,70,0.508,82.0,10,Cart Active,email,send_coupon,email,False
CUST_3056D209,80,0.578,72.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_4AABB6B4,100,0.723,47.0,10,High Intent,email,send_coupon,email,True
CUST_5064B994,100,0.67,100.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_E4673420,20,0.238,52.0,10,Browsing,sms,recommend_products,none,False
CUST_A055F6DB,80,0.578,72.0,10,High Intent,push,wait,none,True
CUST_DA6228BE,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_DA8A6EA9,100,0.693,77.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_B989B36C,90,0.638,72.0,10,Anonymous,email,send_coupon,email,False
CUST_D7A45459,20,0.238,52.0,10,Anonymous,push,wait,none,False
CUST_412E9C77,70,0.508,82.0,10,Cart Active,push,send_coupon,push,False
CUST_9026C7A6,100,0.688,82.0,10,Loyal,email,send_coupon,email,True
CUST_C8846AC3,30,0.298,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_CE311944,65,0.513,47.0,10,Loyal,whatsapp,loyalty_reward,none,True
CUST_2C0B530D,30,0.288,62.0,10,Cart Active,sms,send_whatsapp,whatsapp,False
CUST_AA662E08,10,0.034,61.0,55,Dormant,whatsapp,wait,none,False
CUST_3917DAA1,65,0.513,47.0,10,High Intent,whatsapp,do_nothing,none,True
CUST_090EE7C3,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_538CA05B,100,0.72,80.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_89658641,60,0.5,60.0,0,Interested,whatsapp,send_whatsapp,whatsapp,True
CUST_49288ADE,65,0.513,47.0,10,High Intent,sms,send_email,email,True
CUST_949B7D14,10,0.034,61.0,55,Dormant,whatsapp,wait,none,False
CUST_FC28FE99,100,0.713,57.0,10,High Intent,sms,send_coupon,sms,True
CUST_10D83418,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_6392D950,100,0.693,77.0,10,Loyal,whatsapp,send_coupon,whatsapp,True
CUST_03A41A1A,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_8F04173D,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_19E10825,100,0.693,77.0,10,Loyal,email,send_coupon,email,True
CUST_B8B54386,75,0.558,62.0,10,Anonymous,email,send_coupon,email,False
CUST_8AC845C7,10,0.034,61.0,55,Dormant,whatsapp,send_push,push,False
CUST_05A18D97,10,0.0,70.0,100,Dormant,sms,do_nothing,none,False
CUST_238050B7,75,0.558,62.0,10,Anonymous,email,send_coupon,email,False
CUST_5FEE8FDB,70,0.508,82.0,10,Interested,whatsapp,send_coupon,whatsapp,False
CUST_F3D325DC,35,0.318,62.0,10,Browsing,email,send_whatsapp,whatsapp,False
CUST_DD059926,55,0.438,62.0,10,Browsing,sms,send_whatsapp,whatsapp,False
